Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-11-08,69.55,70.274,68.58,68.59,914900.0,0.0,1.0,69.55,70.274,68.58,68.59,914900.0
2012-11-09,68.53,69.49,68.53,68.84,761900.0,0.0,1.0,68.53,69.49,68.53,68.84,761900.0
2012-11-12,68.51,69.45,67.82,68.33,652500.0,0.0,1.0,68.51,69.45,67.82,68.33,652500.0
2012-11-13,68.1,69.0,68.01,68.28,912600.0,0.0,1.0,68.1,69.0,68.01,68.28,912600.0
2012-11-14,68.37,68.84,67.482,67.75,699200.0,0.0,1.0,68.37,68.84,67.482,67.75,699200.0
2012-11-15,67.73,68.2,67.1,67.74,845000.0,0.0,1.0,67.73,68.2,67.1,67.74,845000.0
2012-11-16,68.5,68.97,67.66,67.89,1097000.0,0.0,1.0,68.5,68.97,67.66,67.89,1097000.0
2012-11-19,68.57,69.36,68.44,69.11,707300.0,0.0,1.0,68.57,69.36,68.44,69.11,707300.0
2012-11-20,68.8,69.35,68.36,69.07,656000.0,0.0,1.0,68.8,69.35,68.36,69.07,656000.0
2012-11-21,68.94,69.02,68.5,68.86,390800.0,0.0,1.0,68.94,69.02,68.5,68.86,390800.0
2012-11-23,69.04,69.5,68.79,69.42,265000.0,0.0,1.0,69.04,69.5,68.79,69.42,265000.0
2012-11-26,69.26,69.6,68.84,69.46,621800.0,0.0,1.0,69.26,69.6,68.84,69.46,621800.0
2012-11-27,68.97,69.46,68.75,68.88,527100.0,0.0,1.0,68.97,69.46,68.75,68.88,527100.0
2012-11-28,68.51,69.18,67.81,69.11,630800.0,0.0,1.0,68.51,69.18,67.81,69.11,630800.0
2012-11-29,69.47,70.14,68.75,69.12,638000.0,0.0,1.0,69.47,70.14,68.75,69.12,638000.0
2012-11-30,69.09,69.31,68.45,69.16,749300.0,0.0,1.0,69.09,69.31,68.45,69.16,749300.0
2012-12-03,69.27,69.74,68.95,69.38,838200.0,0.0,1.0,69.27,69.74,68.95,69.38,838200.0
2012-12-04,69.23,70.43,69.23,70.13,1003300.0,0.0,1.0,69.23,70.43,69.23,70.13,1003300.0
2012-12-05,70.09,70.38,69.69,69.81,631500.0,0.0,1.0,70.09,70.38,69.69,69.81,631500.0
2012-12-06,69.82,69.94,69.05,69.61,531600.0,0.0,1.0,69.82,69.94,69.05,69.61,531600.0
2012-12-07,69.87,70.73,69.38,70.7,692600.0,0.0,1.0,69.87,70.73,69.38,70.7,692600.0
2012-12-10,70.7,71.85,69.93,71.41,889700.0,0.0,1.0,70.7,71.85,69.93,71.41,889700.0
2012-12-11,71.6,72.48,71.58,72.35,833900.0,0.0,1.0,71.6,72.48,71.58,72.35,833900.0
2012-12-12,72.33,72.61,71.93,72.08,724900.0,0.0,1.0,72.33,72.61,71.93,72.08,724900.0
2012-12-13,71.93,72.08,71.38,71.6,427100.0,0.0,1.0,71.93,72.08,71.38,71.6,427100.0
2012-12-14,71.29,72.04,70.67,71.0,797100.0,0.0,1.0,71.29,72.04,70.67,71.0,797100.0
2012-12-17,71.06,72.18,71.03,71.5,903800.0,0.0,1.0,71.06,72.18,71.03,71.5,903800.0
2012-12-18,71.48,72.5,70.79,72.32,940700.0,0.0,1.0,71.48,72.5,70.79,72.32,940700.0
2012-12-19,72.28,72.3,70.93,70.94,488900.0,0.0,1.0,72.28,72.3,70.93,70.94,488900.0
2012-12-20,70.78,71.8099,70.43,71.78,620200.0,0.0,1.0,70.78,71.8099,70.43,71.78,620200.0
2012-12-21,71.16,71.49,70.251,70.8,903800.0,0.0,1.0,71.16,71.49,70.251,70.8,903800.0
2012-12-24,70.55,70.95,70.28,70.86,185300.0,0.0,1.0,70.55,70.95,70.28,70.86,185300.0
2012-12-26,70.88,70.91,69.39,69.84,366600.0,0.0,1.0,70.88,70.91,69.39,69.84,366600.0
2012-12-27,69.83,70.45,69.2527,70.22,460400.0,0.0,1.0,69.83,70.45,69.2527,70.22,460400.0
2012-12-28,69.89,70.44,69.5,69.62,501700.0,0.0,1.0,69.89,70.44,69.5,69.62,501700.0
2012-12-31,69.63,70.3,69.22,70.24,427500.0,0.0,1.0,69.63,70.3,69.22,70.24,427500.0
2013-01-02,71.26,72.5,71.054,72.47,1325100.0,0.0,1.0,71.26,72.5,71.054,72.47,1325100.0
2013-01-03,72.59,73.8,72.5116,73.68,1353500.0,0.0,1.0,72.59,73.8,72.5116,73.68,1353500.0
2013-01-04,73.68,73.87,72.6,72.72,1138500.0,0.0,1.0,73.68,73.87,72.6,72.72,1138500.0
2013-01-07,72.2,75.23,72.2,75.19,1703500.0,0.0,1.0,72.2,75.23,72.2,75.19,1703500.0
2013-01-08,75.0,75.44,74.18,74.84,716600.0,0.0,1.0,75.0,75.44,74.18,74.84,716600.0
2013-01-09,75.0,75.55,74.86,75.25,816000.0,0.0,1.0,75.0,75.55,74.86,75.25,816000.0
2013-01-10,75.5,75.69,74.79,74.88,910200.0,0.0,1.0,75.5,75.69,74.79,74.88,910200.0
2013-01-11,75.07,75.18,74.11,74.58,539000.0,0.0,1.0,75.07,75.18,74.11,74.58,539000.0
2013-01-14,74.2,74.2,73.02,73.85,735300.0,0.0,1.0,74.2,74.2,73.02,73.85,735300.0
2013-01-15,73.7,74.27,73.51,74.0,546400.0,0.0,1.0,73.7,74.27,73.51,74.0,546400.0
2013-01-16,73.95,74.305,73.52,74.14,593400.0,0.0,1.0,73.95,74.305,73.52,74.14,593400.0
2013-01-17,74.49,74.8896,74.23,74.59,462400.0,0.0,1.0,74.49,74.8896,74.23,74.59,462400.0
2013-01-18,74.69,75.33,74.06,75.09,872400.0,0.0,1.0,74.69,75.33,74.06,75.09,872400.0
2013-01-22,75.01,75.58,74.51,75.12,1086900.0,0.0,1.0,75.01,75.58,74.51,75.12,1086900.0
2013-01-23,75.34,75.78,74.52,74.91,1157300.0,0.0,1.0,75.34,75.78,74.52,74.91,1157300.0
2013-01-24,71.12,73.25,69.52,72.88,2875700.0,0.0,1.0,71.12,73.25,69.52,72.88,2875700.0
2013-01-25,72.97,73.55,72.2,73.41,1214200.0,0.0,1.0,72.97,73.55,72.2,73.41,1214200.0
2013-01-28,73.51,73.57,72.16,72.23,560500.0,0.0,1.0,73.51,73.57,72.16,72.23,560500.0
2013-01-29,72.22,72.22,71.35,71.69,827500.0,0.0,1.0,72.22,72.22,71.35,71.69,827500.0
2013-01-30,71.7,71.84,71.3,71.45,788100.0,0.0,1.0,71.7,71.84,71.3,71.45,788100.0
2013-01-31,71.17,71.42,70.51,70.65,723100.0,0.0,1.0,71.17,71.42,70.51,70.65,723100.0
2013-02-01,71.07,71.7,70.7,71.22,756000.0,0.0,1.0,71.07,71.7,70.7,71.22,756000.0
2013-02-04,70.67,71.16,70.26,70.49,821900.0,0.0,1.0,70.67,71.16,70.26,70.49,821900.0
2013-02-05,70.7,71.56,70.7,71.3,531500.0,0.0,1.0,70.7,71.56,70.7,71.3,531500.0
2013-02-06,70.88,71.5,70.88,71.38,726400.0,0.0,1.0,70.88,71.5,70.88,71.38,726400.0
2013-02-07,71.18,71.97,70.515,71.86,1003200.0,0.0,1.0,71.18,71.97,70.515,71.86,1003200.0
2013-02-08,71.87,72.33,70.96,71.1,655600.0,0.0,1.0,71.87,72.33,70.96,71.1,655600.0
2013-02-11,71.04,71.1499,70.55,71.11,639200.0,0.0,1.0,71.04,71.1499,70.55,71.11,639200.0
2013-02-12,71.06,71.94,70.92,71.36,871400.0,0.0,1.0,71.06,71.94,70.92,71.36,871400.0
2013-02-13,71.64,71.69,70.98,71.5,617700.0,0.0,1.0,71.64,71.69,70.98,71.5,617700.0
2013-02-14,71.22,71.5,70.88,70.96,614200.0,0.0,1.0,71.22,71.5,70.88,70.96,614200.0
2013-02-15,70.93,71.08,70.0,70.05,840600.0,0.0,1.0,70.93,71.08,70.0,70.05,840600.0
2013-02-19,70.13,71.0,69.6601,70.69,399200.0,0.0,1.0,70.13,71.0,69.6601,70.69,399200.0
2013-02-20,70.51,70.56,69.8,69.9,781000.0,0.0,1.0,70.51,70.56,69.8,69.9,781000.0
2013-02-21,69.81,69.925,68.79,69.48,744700.0,0.0,1.0,69.81,69.925,68.79,69.48,744700.0
2013-02-22,69.87,70.215,69.58,70.12,562700.0,0.0,1.0,69.87,70.215,69.58,70.12,562700.0
2013-02-25,70.39,71.03,69.21,69.21,693800.0,0.0,1.0,70.39,71.03,69.21,69.21,693800.0
2013-02-26,69.49,69.52,67.88,68.66,907800.0,0.0,1.0,69.49,69.52,67.88,68.66,907800.0
2013-02-27,68.59,69.5,68.49,69.35,993400.0,0.0,1.0,68.59,69.5,68.49,69.35,993400.0
2013-02-28,69.34,71.08,69.22,70.63,1207200.0,0.0,1.0,69.34,71.08,69.22,70.63,1207200.0
2013-03-01,70.51,71.2202,69.8,70.85,759200.0,0.0,1.0,70.51,71.2202,69.8,70.85,759200.0
2013-03-04,70.66,71.57,70.65,71.55,694600.0,0.0,1.0,70.66,71.57,70.65,71.55,694600.0
2013-03-05,71.75,73.1025,71.75,72.7,741400.0,0.0,1.0,71.75,73.1025,71.75,72.7,741400.0
2013-03-06,73.0,73.0,71.38,72.01,731200.0,0.0,1.0,73.0,73.0,71.38,72.01,731200.0
2013-03-07,72.29,73.12,71.98,72.13,644000.0,0.0,1.0,72.29,73.12,71.98,72.13,644000.0
2013-03-08,72.4,73.89,72.19,73.82,691700.0,0.0,1.0,72.4,73.89,72.19,73.82,691700.0
2013-03-11,73.59,73.64,73.27,73.46,359800.0,0.0,1.0,73.59,73.64,73.27,73.46,359800.0
2013-03-12,73.31,73.73,73.12,73.7,382400.0,0.0,1.0,73.31,73.73,73.12,73.7,382400.0
2013-03-13,73.62,74.5,73.2407,74.44,490700.0,0.0,1.0,73.62,74.5,73.2407,74.44,490700.0
2013-03-14,74.46,74.46,73.58,74.06,681700.0,0.0,1.0,74.46,74.46,73.58,74.06,681700.0
2013-03-15,73.79,73.79,72.76,73.23,745600.0,0.0,1.0,73.79,73.79,72.76,73.23,745600.0
2013-03-18,72.47,72.78,71.92,72.48,452500.0,0.0,1.0,72.47,72.78,71.92,72.48,452500.0
2013-03-19,72.62,72.6697,71.56,72.31,287500.0,0.0,1.0,72.62,72.6697,71.56,72.31,287500.0
2013-03-20,72.63,72.9,72.0,72.36,500300.0,0.0,1.0,72.63,72.9,72.0,72.36,500300.0
2013-03-21,72.1,72.8,71.81,72.17,547400.0,0.0,1.0,72.1,72.8,71.81,72.17,547400.0
2013-03-22,72.3,72.64,71.88,72.25,690700.0,0.0,1.0,72.3,72.64,71.88,72.25,690700.0
2013-03-25,72.51,72.51,71.56,71.68,580200.0,0.0,1.0,72.51,72.51,71.56,71.68,580200.0
2013-03-26,71.94,72.25,71.51,71.79,802400.0,0.0,1.0,71.94,72.25,71.51,71.79,802400.0
2013-03-27,71.51,71.8,71.07,71.7,802000.0,0.0,1.0,71.51,71.8,71.07,71.7,802000.0
2013-03-28,71.69,72.08,71.47,72.0,838700.0,0.0,1.0,71.69,72.08,71.47,72.0,838700.0
2013-04-01,72.0,72.07,71.21,71.89,513900.0,0.0,1.0,72.0,72.07,71.21,71.89,513900.0
2013-04-02,72.14,72.27,71.75,71.91,597200.0,0.0,1.0,72.14,72.27,71.75,71.91,597200.0
2013-04-03,72.16,72.16,71.09,71.36,595900.0,0.0,1.0,72.16,72.16,71.09,71.36,595900.0
2013-04-04,71.5,71.73,71.11,71.35,458600.0,0.0,1.0,71.5,71.73,71.11,71.35,458600.0
2013-04-05,70.66,70.88,70.19,70.66,771800.0,0.0,1.0,70.66,70.88,70.19,70.66,771800.0
2013-04-08,70.6,71.07,70.12,70.7,529300.0,0.0,1.0,70.6,71.07,70.12,70.7,529300.0
2013-04-09,70.95,71.35,70.64,71.0,569900.0,0.0,1.0,70.95,71.35,70.64,71.0,569900.0
2013-04-10,71.11,71.95,71.11,71.66,611700.0,0.0,1.0,71.11,71.95,71.11,71.66,611700.0
2013-04-11,71.64,72.71,71.64,72.3,434400.0,0.0,1.0,71.64,72.71,71.64,72.3,434400.0
2013-04-12,72.07,73.2,71.99,72.78,597300.0,0.0,1.0,72.07,73.2,71.99,72.78,597300.0
2013-04-15,70.08,70.65,68.77,68.97,1524100.0,0.0,1.0,70.08,70.65,68.77,68.97,1524100.0
2013-04-16,69.29,69.5,68.53,69.3,979400.0,0.0,1.0,69.29,69.5,68.53,69.3,979400.0
2013-04-17,68.89,68.98,67.465,67.55,797800.0,0.0,1.0,68.89,68.98,67.465,67.55,797800.0
2013-04-18,67.55,68.07,66.35,66.57,968500.0,0.0,1.0,67.55,68.07,66.35,66.57,968500.0
2013-04-19,65.97,67.37,65.5,67.29,2154600.0,0.0,1.0,65.97,67.37,65.5,67.29,2154600.0
2013-04-22,67.23,67.41,66.9,67.03,696100.0,0.0,1.0,67.23,67.41,66.9,67.03,696100.0
2013-04-23,67.27,68.56,67.13,68.51,867000.0,0.0,1.0,67.27,68.56,67.13,68.51,867000.0
2013-04-24,68.52,68.66,67.69,68.35,992200.0,0.0,1.0,68.52,68.66,67.69,68.35,992200.0
2013-04-25,65.0,65.9,63.1,64.02,3706700.0,0.0,1.0,65.0,65.9,63.1,64.02,3706700.0
2013-04-26,64.0,64.51,63.79,64.12,1134900.0,0.0,1.0,64.0,64.51,63.79,64.12,1134900.0
2013-04-29,64.48,65.04,64.31,64.79,794600.0,0.0,1.0,64.48,65.04,64.31,64.79,794600.0
2013-04-30,64.86,65.16,64.07,65.14,887600.0,0.0,1.0,64.86,65.16,64.07,65.14,887600.0
2013-05-01,64.96,65.08,64.05,64.2,641000.0,0.0,1.0,64.96,65.08,64.05,64.2,641000.0
2013-05-02,64.53,64.77,64.145,64.46,615800.0,0.0,1.0,64.53,64.77,64.145,64.46,615800.0
2013-05-03,65.17,66.47,65.09,65.69,1140300.0,0.0,1.0,65.17,66.47,65.09,65.69,1140300.0
2013-05-06,65.64,65.93,65.14,65.53,655000.0,0.0,1.0,65.64,65.93,65.14,65.53,655000.0
2013-05-07,65.71,66.3,65.4875,66.03,911700.0,0.0,1.0,65.71,66.3,65.4875,66.03,911700.0
2013-05-08,66.05,67.62,66.01,67.59,788200.0,0.0,1.0,66.05,67.62,66.01,67.59,788200.0
2013-05-09,67.34,68.34,66.62,68.21,901100.0,0.0,1.0,67.34,68.34,66.62,68.21,901100.0
2013-05-10,68.17,68.82,68.0,68.75,865200.0,0.0,1.0,68.17,68.82,68.0,68.75,865200.0
2013-05-13,68.51,69.53,68.21,69.37,914700.0,0.0,1.0,68.51,69.53,68.21,69.37,914700.0
2013-05-14,69.41,70.71,69.29,70.23,1622400.0,0.0,1.0,69.41,70.71,69.29,70.23,1622400.0
2013-05-15,70.01,70.2,69.715,69.94,906600.0,0.0,1.0,70.01,70.2,69.715,69.94,906600.0
2013-05-16,69.61,69.61,68.43,68.98,834800.0,0.0,1.0,69.61,69.61,68.43,68.98,834800.0
2013-05-17,69.43,69.48,68.1,69.3,666400.0,0.0,1.0,69.43,69.48,68.1,69.3,666400.0
2013-05-20,69.33,69.56,69.1,69.45,514000.0,0.0,1.0,69.33,69.56,69.1,69.45,514000.0
2013-05-21,69.64,70.44,69.57,69.88,542200.0,0.0,1.0,69.64,70.44,69.57,69.88,542200.0
2013-05-22,69.95,70.669,68.14,68.43,730800.0,0.0,1.0,69.95,70.669,68.14,68.43,730800.0
2013-05-23,68.1,68.4,67.32,67.89,614200.0,0.0,1.0,68.1,68.4,67.32,67.89,614200.0
2013-05-24,67.52,67.89,67.1,67.36,688300.0,0.0,1.0,67.52,67.89,67.1,67.36,688300.0
2013-05-28,68.16,68.55,67.93,68.08,729300.0,0.0,1.0,68.16,68.55,67.93,68.08,729300.0
2013-05-29,67.77,68.54,67.25,68.01,745200.0,0.0,1.0,67.77,68.54,67.25,68.01,745200.0
2013-05-30,68.19,68.73,67.75,68.49,288400.0,0.0,1.0,68.19,68.73,67.75,68.49,288400.0
2013-05-31,68.24,68.55,67.01,67.01,458700.0,0.0,1.0,68.24,68.55,67.01,67.01,458700.0
2013-06-03,67.26,67.41,66.3601,67.37,505400.0,0.0,1.0,67.26,67.41,66.3601,67.37,505400.0
2013-06-04,67.36,67.75,66.77,66.84,575000.0,0.0,1.0,67.36,67.75,66.77,66.84,575000.0
2013-06-05,66.73,68.48,66.64,67.85,994800.0,0.0,1.0,66.73,68.48,66.64,67.85,994800.0
2013-06-06,67.84,68.19,66.93,68.18,621400.0,0.0,1.0,67.84,68.19,66.93,68.18,621400.0
2013-06-07,68.52,69.66,68.38,69.55,522100.0,0.0,1.0,68.52,69.66,68.38,69.55,522100.0
2013-06-10,69.61,69.765,68.55,69.2,845200.0,0.0,1.0,69.61,69.765,68.55,69.2,845200.0
2013-06-11,68.07,69.04,68.07,68.61,693900.0,0.0,1.0,68.07,69.04,68.07,68.61,693900.0
2013-06-12,69.2,69.27,67.92,68.14,562700.0,0.0,1.0,69.2,69.27,67.92,68.14,562700.0
2013-06-13,68.22,69.66,67.73,69.58,429700.0,0.0,1.0,68.22,69.66,67.73,69.58,429700.0
2013-06-14,69.54,69.89,68.73,68.88,416200.0,0.0,1.0,69.54,69.89,68.73,68.88,416200.0
2013-06-17,69.32,70.3,69.24,69.71,705300.0,0.0,1.0,69.32,70.3,69.24,69.71,705300.0
2013-06-18,69.93,70.87,69.87,70.86,612600.0,0.0,1.0,69.93,70.87,69.87,70.86,612600.0
2013-06-19,70.77,70.85,68.75,68.78,454600.0,0.0,1.0,70.77,70.85,68.75,68.78,454600.0
2013-06-20,68.21,68.32,66.78,66.98,555200.0,0.0,1.0,68.21,68.32,66.78,66.98,555200.0
2013-06-21,67.54,68.16,67.32,67.61,797800.0,0.0,1.0,67.54,68.16,67.32,67.61,797800.0
2013-06-24,67.05,67.05,65.84,66.17,703900.0,0.0,1.0,67.05,67.05,65.84,66.17,703900.0
2013-06-25,66.95,67.32,66.195,66.6,620100.0,0.0,1.0,66.95,67.32,66.195,66.6,620100.0
2013-06-26,67.18,67.61,65.74,65.86,1311700.0,0.0,1.0,67.18,67.61,65.74,65.86,1311700.0
2013-06-27,66.06,66.79,65.94,66.63,1855900.0,0.0,1.0,66.06,66.79,65.94,66.63,1855900.0
2013-06-28,66.48,68.02,66.48,67.45,1095900.0,0.0,1.0,66.48,68.02,66.48,67.45,1095900.0
2013-07-01,67.87,68.55,67.55,68.14,563400.0,0.0,1.0,67.87,68.55,67.55,68.14,563400.0
2013-07-02,67.97,67.97,66.37,66.65,868300.0,0.0,1.0,67.97,67.97,66.37,66.65,868300.0
2013-07-03,66.63,66.79,66.02,66.37,444700.0,0.0,1.0,66.63,66.79,66.02,66.37,444700.0
2013-07-05,66.98,67.39,66.51,67.23,274200.0,0.0,1.0,66.98,67.39,66.51,67.23,274200.0
2013-07-08,67.68,68.37,67.34,68.2,640100.0,0.0,1.0,67.68,68.37,67.34,68.2,640100.0
2013-07-09,68.1,68.71,65.7,66.3,1754000.0,0.0,1.0,68.1,68.71,65.7,66.3,1754000.0
2013-07-10,66.31,67.06,66.3,66.93,894200.0,0.0,1.0,66.31,67.06,66.3,66.93,894200.0
2013-07-11,67.82,69.1,67.63,68.27,860600.0,0.0,1.0,67.82,69.1,67.63,68.27,860600.0
2013-07-12,68.36,69.51,68.11,69.37,1274600.0,0.0,1.0,68.36,69.51,68.11,69.37,1274600.0
2013-07-15,69.37,69.66,69.02,69.37,538700.0,0.0,1.0,69.37,69.66,69.02,69.37,538700.0
2013-07-16,69.37,70.0,69.33,69.85,843400.0,0.0,1.0,69.37,70.0,69.33,69.85,843400.0
2013-07-17,70.0,70.87,69.83,70.74,810700.0,0.0,1.0,70.0,70.87,69.83,70.74,810700.0
2013-07-18,70.75,71.59,70.75,71.57,791400.0,0.0,1.0,70.75,71.59,70.75,71.57,791400.0
2013-07-19,71.26,72.36,70.835,72.26,633600.0,0.0,1.0,71.26,72.36,70.835,72.26,633600.0
2013-07-22,72.03,72.5,71.81,72.43,537000.0,0.0,1.0,72.03,72.5,71.81,72.43,537000.0
2013-07-23,72.3,72.57,71.68,72.51,830100.0,0.0,1.0,72.3,72.57,71.68,72.51,830100.0
2013-07-24,72.85,73.12,71.69,72.11,1255500.0,0.0,1.0,72.85,73.12,71.69,72.11,1255500.0
2013-07-25,71.6,74.9299,70.8,74.1,2920200.0,0.0,1.0,71.6,74.9299,70.8,74.1,2920200.0
2013-07-26,73.71,73.86,72.4301,73.84,736500.0,0.0,1.0,73.71,73.86,72.4301,73.84,736500.0
2013-07-29,73.54,73.54,72.29,72.4,941500.0,0.0,1.0,73.54,73.54,72.29,72.4,941500.0
2013-07-30,72.73,73.12,72.08,72.29,755500.0,0.0,1.0,72.73,73.12,72.08,72.29,755500.0
2013-07-31,72.49,72.99,71.99,72.5,737500.0,0.0,1.0,72.49,72.99,71.99,72.5,737500.0
2013-08-01,73.2,73.26,72.35,73.2,712300.0,0.0,1.0,73.2,73.26,72.35,73.2,712300.0
2013-08-02,73.28,73.28,72.65,73.01,578400.0,0.0,1.0,73.28,73.28,72.65,73.01,578400.0
2013-08-05,72.62,72.89,71.86,72.61,542100.0,0.0,1.0,72.62,72.89,71.86,72.61,542100.0
2013-08-06,72.57,72.82,71.75,72.02,696700.0,0.0,1.0,72.57,72.82,71.75,72.02,696700.0
2013-08-07,72.04,72.92,71.82,72.75,594500.0,0.0,1.0,72.04,72.92,71.82,72.75,594500.0
2013-08-08,72.82,74.05,72.82,73.76,595500.0,0.0,1.0,72.82,74.05,72.82,73.76,595500.0
2013-08-09,73.53,74.36,73.31,74.21,516300.0,0.0,1.0,73.53,74.36,73.31,74.21,516300.0
2013-08-12,73.46,74.1,73.44,73.85,421000.0,0.0,1.0,73.46,74.1,73.44,73.85,421000.0
2013-08-13,73.9,73.98,73.46,73.85,322200.0,0.0,1.0,73.9,73.98,73.46,73.85,322200.0
2013-08-14,73.62,73.92,73.5,73.6,343800.0,0.0,1.0,73.62,73.92,73.5,73.6,343800.0
2013-08-15,72.81,73.14,72.13,72.26,364500.0,0.0,1.0,72.81,73.14,72.13,72.26,364500.0
2013-08-16,72.03,72.13,71.4,71.72,351900.0,0.0,1.0,72.03,72.13,71.4,71.72,351900.0
2013-08-19,71.69,72.36,71.69,71.98,270900.0,0.0,1.0,71.69,72.36,71.69,71.98,270900.0
2013-08-20,72.07,72.55,71.7,72.42,336100.0,0.0,1.0,72.07,72.55,71.7,72.42,336100.0
2013-08-21,72.28,72.6,71.6,71.98,379400.0,0.0,1.0,72.28,72.6,71.6,71.98,379400.0
2013-08-22,71.92,73.0231,71.92,72.77,255700.0,0.0,1.0,71.92,73.0231,71.92,72.77,255700.0
2013-08-23,73.03,73.0685,72.41,72.65,389100.0,0.0,1.0,73.03,73.0685,72.41,72.65,389100.0
2013-08-26,72.64,73.378,72.62,72.68,418000.0,0.0,1.0,72.64,73.378,72.62,72.68,418000.0
2013-08-27,72.03,72.2,70.93,71.39,676300.0,0.0,1.0,72.03,72.2,70.93,71.39,676300.0
2013-08-28,71.39,72.01,71.07,71.1,412400.0,0.0,1.0,71.39,72.01,71.07,71.1,412400.0
2013-08-29,70.72,72.33,70.72,71.4,600200.0,0.0,1.0,70.72,72.33,70.72,71.4,600200.0
2013-08-30,71.52,71.56,70.1,70.45,934800.0,0.0,1.0,71.52,71.56,70.1,70.45,934800.0
2013-09-03,70.65,71.74,70.47,71.04,752100.0,0.0,1.0,70.65,71.74,70.47,71.04,752100.0
2013-09-04,71.16,71.91,70.76,71.79,556100.0,0.0,1.0,71.16,71.91,70.76,71.79,556100.0
2013-09-05,71.73,72.13,71.46,71.89,793300.0,0.0,1.0,71.73,72.13,71.46,71.89,793300.0
2013-09-06,72.1,72.37,71.09,71.87,647500.0,0.0,1.0,72.1,72.37,71.09,71.87,647500.0
2013-09-09,72.03,72.72,71.9329,72.45,987600.0,0.0,1.0,72.03,72.72,71.9329,72.45,987600.0
2013-09-10,72.7,73.74,72.63,73.62,1396300.0,0.0,1.0,72.7,73.74,72.63,73.62,1396300.0
2013-09-11,73.71,74.95,73.24,74.95,1660100.0,0.0,1.0,73.71,74.95,73.24,74.95,1660100.0
2013-09-12,74.79,74.94,74.07,74.34,717100.0,0.0,1.0,74.79,74.94,74.07,74.34,717100.0
2013-09-13,74.27,74.63,73.51,74.55,388200.0,0.0,1.0,74.27,74.63,73.51,74.55,388200.0
2013-09-16,74.95,75.44,74.6,75.16,559000.0,0.0,1.0,74.95,75.44,74.6,75.16,559000.0
2013-09-17,75.23,75.37,74.9,74.98,334700.0,0.0,1.0,75.23,75.37,74.9,74.98,334700.0
2013-09-18,75.06,75.95,74.52,75.86,486600.0,0.0,1.0,75.06,75.95,74.52,75.86,486600.0
2013-09-19,75.92,75.94,75.1,75.59,316700.0,0.0,1.0,75.92,75.94,75.1,75.59,316700.0
2013-09-20,75.74,76.6,75.58,76.1,1126700.0,0.0,1.0,75.74,76.6,75.58,76.1,1126700.0
2013-09-23,76.05,76.69,75.583,76.27,637300.0,0.0,1.0,76.05,76.69,75.583,76.27,637300.0
2013-09-24,76.1,76.28,75.2,75.27,1010000.0,0.0,1.0,76.1,76.28,75.2,75.27,1010000.0
2013-09-25,75.39,75.4,74.06,74.31,1668300.0,0.0,1.0,75.39,75.4,74.06,74.31,1668300.0
2013-09-26,74.48,74.68,73.6,74.08,624900.0,0.0,1.0,74.48,74.68,73.6,74.08,624900.0
2013-09-27,73.85,74.5025,73.71,74.18,554000.0,0.0,1.0,73.85,74.5025,73.71,74.18,554000.0
2013-09-30,74.06,75.43,73.96,74.73,937400.0,0.0,1.0,74.06,75.43,73.96,74.73,937400.0
2013-10-01,74.85,75.59,74.78,75.34,589900.0,0.0,1.0,74.85,75.59,74.78,75.34,589900.0
2013-10-02,75.06,75.2,74.17,74.97,631600.0,0.0,1.0,75.06,75.2,74.17,74.97,631600.0
2013-10-03,74.66,74.85,73.66,74.36,747100.0,0.0,1.0,74.66,74.85,73.66,74.36,747100.0
2013-10-04,74.33,75.13,74.25,74.94,329900.0,0.0,1.0,74.33,75.13,74.25,74.94,329900.0
2013-10-07,74.29,74.98,73.96,74.56,327300.0,0.0,1.0,74.29,74.98,73.96,74.56,327300.0
2013-10-08,74.69,76.13,74.65,75.42,1045400.0,0.0,1.0,74.69,76.13,74.65,75.42,1045400.0
2013-10-09,75.46,75.99,75.255,75.44,645700.0,0.0,1.0,75.46,75.99,75.255,75.44,645700.0
2013-10-10,76.19,77.39,76.11,77.37,822000.0,0.0,1.0,76.19,77.39,76.11,77.37,822000.0
2013-10-11,77.13,77.71,76.76,77.69,567200.0,0.0,1.0,77.13,77.71,76.76,77.69,567200.0
2013-10-14,77.41,78.189,77.074,77.94,457400.0,0.0,1.0,77.41,78.189,77.074,77.94,457400.0
2013-10-15,77.64,78.24,76.96,77.04,959800.0,0.0,1.0,77.64,78.24,76.96,77.04,959800.0
2013-10-16,77.64,78.91,77.44,78.87,686200.0,0.0,1.0,77.64,78.91,77.44,78.87,686200.0
2013-10-17,78.63,78.83,78.0,78.55,895100.0,0.0,1.0,78.63,78.83,78.0,78.55,895100.0
2013-10-18,79.15,80.66,76.455,78.64,817700.0,0.0,1.0,79.15,80.66,76.455,78.64,817700.0
2013-10-21,78.6,78.9,77.94,78.23,635000.0,0.0,1.0,78.6,78.9,77.94,78.23,635000.0
2013-10-22,78.27,78.76,77.09,77.3,921100.0,0.0,1.0,78.27,78.76,77.09,77.3,921100.0
2013-10-23,77.24,79.42,77.0,78.52,1158100.0,0.0,1.0,77.24,79.42,77.0,78.52,1158100.0
2013-10-24,74.75,75.21,72.71,73.3,3119100.0,0.0,1.0,74.75,75.21,72.71,73.3,3119100.0
